Date,Count
2020-10-06,14228
2020-10-07,14231
2020-10-08,14240
2020-10-09,14241
2020-10-10,14244
2020-10-11,14253
2020-10-12,14257
2020-10-13,14261
2020-10-14,14265
2020-10-15,14271
2020-10-16,14277
2020-10-17,14282
2020-10-18,14285
2020-10-19,14290
2020-10-20,14293
2020-10-21,14298
2020-10-22,14305
2020-10-23,14309
2020-10-24,14318
2020-10-25,14322
2020-10-26,14330
2020-10-27,14332
2020-10-28,14338
2020-10-29,14343
2020-10-30,14347
2020-10-31,14353
2020-11-01,12608
2020-11-02,12612
2020-11-03,12614
2020-11-04,12623
2020-11-05,12630
2020-11-06,12635
2020-11-07,12638
2020-11-08,12642
2020-11-09,12645
2020-11-10,12647
2020-11-11,12650
2020-11-12,12653
2020-11-13,12655
2020-11-14,12665
2020-11-15,12667
2020-11-16,12670
2020-11-17,12676
2020-11-18,12682
2020-11-19,12686
2020-11-20,12690
2020-11-21,12692
2020-11-22,12697
2020-11-23,12703
2020-11-24,12708
2020-11-25,12711
2020-11-26,12713
2020-11-27,12715
2020-11-28,12720
2020-11-29,12727
2020-11-30,12729
2020-12-01,12731
2020-12-02,12736
2020-12-03,12740
2020-12-04,12744
2020-12-05,12747
2020-12-06,12752
2020-12-07,12757
2020-12-08,12764
2020-12-09,12767
2020-12-10,12771
2020-12-11,12774
2020-12-12,12777
2020-12-13,12783
2020-12-14,12789
2020-12-15,12796
2020-12-16,12800
2020-12-17,12806
2020-12-18,12809
2020-12-19,12812
2020-12-20,12815
2020-12-21,12820
2020-12-22,12826
2020-12-23,12831
2020-12-24,12838
2020-12-25,12839
2020-12-26,12842
2020-12-27,12846
2020-12-28,12847
2020-12-29,12854
2020-12-30,12859
2020-12-31,12861
